siteLabel,coordinate,siteID
Champaner-Pavagadh Archaeological Park,Point(73.533333333 22.483333333),844427
Champasak cultural landscape,Point(105.8 14.83333333),3888860
Champasak cultural landscape,Point(105.8176 14.848264),3888860
Chan Chan,Point(-79.075 -8.110555555),277540
Changdeokgung,Point(126.991666666 37.579444444),477157
Chankillo Archaeoastronomical Complex,Point(-78.2359 -9.5569),108016068
Chapel of Mondement-Montgivroux,Point(3.77552 48.78658),41780872
Chapel of Saint Michael the Archangel (La Seo of Zaragoza),Point(-0.875679 41.655124),49787421
Chapelle Saint-Nicolas du pont Saint-Bénézet,Point(4.80506 43.9539),2956943
Chauvet Cave,Point(4.4161408 44.3881219),374096
Chavin de Huantar,Point(-77.178452777 -9.592775),732554
Chaîne des Puys - Limagne fault tectonic arena,Point(2.96511 45.77939),64832437
Chemin des Dames Memorial Chapel,Point(3.667091878 49.44301728),19407109
Chengde Mountain Resort and its outlying temples,Point(117.9375 40.9875),1046818
Chengjiang Fossil Site,Point(102.977222222 24.668888888),3485434
Chestres French National Cemetery,Point(4.727604 49.396894),20973930
Chhatrapati Shivaji Maharaj Terminus,Point(72.8355 18.9398),235884
Chichen Itza,Point(-88.568611111 20.683055555),5859
Chief Roi Mata’s Domain,Point(168.23399 -17.69364),1072369
Children's Peace Monument,Point(132.452776 34.394142),114718
China Danxia,Point(106.043 28.4219),1286650
Chinese Pavilion at Drottningholm,Point(17.87861111 59.31694444),2227225
Chiribiquete National Park,Point(-72.8054 0.700607),2603196
Chitwan National Park,Point(84.333333 27.5),1075023
Chogha Zanbil,Point(48.520833333 32.008333333),4523
Chongoni Rock Art Area,Point(34.279166666 -14.293333333),832262
Choquechaka street,Point(-71.975677 -13.515694),70111851
Chora Church,Point(28.939167 41.031111),849489
Christiansfeld,Point(9.483056 55.356667),3197288
Church of Belén,Point(-71.981233 -13.526961),77992147
Church of Cristo Obrero y Nuestra Señora de Lourdes,Point(-55.766 -34.744),26721344
Church of Our Lady of the Good Death,Point(-50.140393 -15.933639),10300355
"Church of Our Lady of the Spasm, Jerusalem",Point(35.232411 31.779921),999100
Church of Santa Catalina,Point(-71.977267 -13.517496),71896434
"Church of Santo Domingo, Puebla",Point(-98.19805556 19.04694444),5117179
Church of St. George,Point(9.08222222 47.68916667),878986
Church of St. Tecla,Point(-1.735805555 41.432972222),5912026
"Church of the Ascension, Kolomenskoye",Point(37.670833333 55.667222222),220951
Church of the Holy All-Savior of Derbent,Point(48.287047 42.057012),4505008
Church of the Nativity,Point(35.207583333 31.704305555),194504
Church of the Redeemer,Point(13.096472222 52.424638888),564199
Church of the Saviour at Berestove,Point(30.555001 50.437333),2524402
Churches and Convents of Goa,Point(73.9117 15.5024),15726428
Churches of Chiloé,Point(-73.766666666 -42.5),27964
Churches of Peace,Point(16.189041 51.053914),589634
Churches of the Pskov School of Architecture,Point(28.3286 57.8072),66053233
Château de Chambord,Point(1.517222222 47.616111111),205367
Cidade Velha,Point(-23.604166666 14.916666666),464913
"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",Point(15.26667 40.28333),65016468
Citadel of Erbil,Point(44.009 36.191),206236
Citadel of the Hồ Dynasty,Point(105.604722222 20.078055555),190060
"Citadel, Ancient City and Fortress Buildings of Derbent",Point(48.29719 42.05297),64763166
Citadelle Laferrière,Point(-72.243888888 19.573611111),206194
City of Graz – Historic Centre and Schloss Eggenberg,Point(15.391666666 47.074166666),2326418
City of Luxembourg: its Old Quarters and Fortifications,Point(6.1325 49.610555555),52112669
City of Safranbolu,Point(32.68972 41.26),64705254
City of Vicenza and the Palladian Villas of the Veneto,Point(11.55 45.55),370956
Cité de Carcassonne,Point(2.363788 43.206439),389269
Ciudad Universitaria,Point(-99.18805556 19.33222222),130025
Clarence House,Point(-61.762205792 17.010070936),124310652
Classical Gardens of Suzhou,Point(120.62555556 31.32666667),1144337
Classical Weimar,Point(11.31666667 50.98333333),467763
"Climats, terroirs of Burgundy",Point(4.864444444 47.058055555),20650612
Cocos Island National Park,Point(-87.0667 5.53333),6062995
Coffee Cultural Landscape of Colombia,Point(-75.681666666 5.471666666),27960
Coiba,Point(-81.79 7.48),741636
Colchic Rainforests and Wetlands,Point(41.951111111 41.702222222),107694185
Cold Winter Deserts of Turan,Point(79.034166666 44.025833333),122731152
Colegio Mayor de San Ildefonso,Point(-3.363075 40.482855),5142854
College of the Company of Jesus,Point(-90.73541667 14.55791667),18222581
"Collegiate Church, Castle, and Old Town of Quedlinburg",Point(11.15 51.78333),10300241
Collegiate church of Santa María,Point(-1.645056 41.354056),3897006
Cologne Cathedral,Point(6.958333333 50.941388888),4176
Colonia Iulia Urbs Triumphalis Tarraco,Point(1.255230555 41.116477777),1501940
Colonial City of Santo Domingo,Point(-69.883 18.473),2470834
Colonies of Benevolence,Point(6.391589 53.042222),64590591
Comoé National Park,Point(-3.590555555 8.8225),501344
Comoé National Park,Point(-3.7725 9.163611111),501344
Compiègne-Royallieu National Cemetery,Point(2.81376 49.40308),19407144
Confluence Beach,Point(0.07497 47.21375),54806811
Consenvoye German military cemetery,Point(5.2973 49.28),51426068
Convent of Christ,Point(-8.419258 39.603636),736692
Copán,Point(-89.142441666 14.837963888),214827
Cordouan Lighthouse,Point(-1.1733254 45.5863198),199234
Corfu,Point(19.921388888 39.623888888),205832
Cornwall and West Devon Mining Landscape,Point(-5.383611111 50.136111111),464566
Coro and its Port,Point(-69.6833 11.4),65621655
Couros Zone,Point(-8.293 41.44),54943569
Courtyard of Santo Tomás de Villanueva (University of Alcalá),Point(-3.362955 40.482617),118371878
Crac des Chevaliers and Qal’at Salah El-Din,Point(36.26305556 34.78166667),15604681
Cradle of Humankind,Point(27.66244 -25.967231),1130112
Craonnelle National Cemetery,Point(3.773009 49.431917),19945178
Crespi d'Adda,Point(9.536111111 45.596666666),726842
Cristo Blanco,Point(-71.978132521 -13.509554062),107554678
Crusader Cathedral Tyre,Point(35.195138888 33.270361111),110026434
Cuesta de San Blas,Point(-71.975172 -13.51537),83286477
Cueva de las Manos,Point(-70.666666666 -47.15),223385
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Point(67.826803 34.832042),50810144
Cultural Landscape of Bali Province: the Subak System as a Manifestation of the Tri Hita Karana Philosophy,Point(115.4027778 -8.259166667),17134727
